time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1773516183622,upload,10000000,986.7999999970198,80658105.93924595,996.7999999970198,-1,381,95.30000000447035 113.89999999850988 110.59999999403954 100.10000000149012 96.89999999850988
1773516184710,upload,10000000,1065,74790697.6744186,1075,-1,375,123.5 129.69999999552965 102.39999999850988 90.60000000149012 91.89999999850988
1773516185850,upload,10000000,1116.5,71371504.66045271,1126.5,-1,380,114.20000000298023 105.59999999403954 143 131.79999999701977 99.29999999701977
1773516189021,download,25000000,140.5,63372116.60329531,3156,-1,25000300,111.39999999850988 200.89999999850988 114.10000000149012 104.5 185.30000000447035 183.40000000596046 200.89999999850988 124.10000000149012 102.60000000149012 95.40000000596046 108.80000000447035 164.29999999701977
1773516190645,download,25000000,119,124225093.16770186,1610,-1,25000300,98.5 105 174 212.5 232.29999999701977 260.1000000014901
1773516192358,download,25000000,111.10000000149012,117807857.68960883,1697.7000000029802,-1,25000300,91 234.89999999850988 190.69999999552965 281.3999999985099 309.90000000596046
1773516194075,download,25000000,105,117503319.42883785,1702.1000000014901,-1,25000300,93.60000000149012 145.60000000149012 260.09999999403954 283.5 267.3999999985099
1773516196538,upload,25000000,2401.3000000044703,83357524.98636724,2411.3000000044703,-1,381,139.70000000298023 107.20000000298023 107.5 109.59999999403954 109.5 102.89999999850988 121.90000000596046 112.19999999552965 129.5 120.69999999552965 100.69999999552965
1773516199383,upload,25000000,2790.10000000149,71783150.60172601,2800.10000000149,-1,376,119.89999999850988 161.89999999850988 105.39999999850988 183.90000000596046 107.29999999701977 113.20000000298023 110.89999999850988 110.10000000149012 97 103.79999999701977 156.19999999552965 112.20000000298023
1773516202573,upload,25000000,3144.89999999851,63710418.71377695,3154.89999999851,-1,381,108.60000000149012 106.30000000447035 107.70000000298023 98.10000000149012 111.80000000447035 108.30000000447035 105.69999999552965 99.89999999850988 94.5 114.70000000298023 101.09999999403954 105.89999999850988 106.89999999850988 117.80000000447035
1773516205866,upload,25000000,3255.10000000149,61560135.98355586,3265.10000000149,-1,376,116.70000000298023 147.20000000298023 196.60000000149012 128.60000000149012 105.19999999552965 111.70000000298023 99.89999999850988 127.5 191.09999999403954 102.80000000447035 183.39999999850988 103.30000000447035 101.80000000447035 106.79999999701977
